Nazwa_kategorii	Numer linijki
Povijest_Europe	2
Povijest_Europe	3
Književnost	4
Društvene_znanosti	5
Religija	6
Primijenjene_znanosti	7
Kalendar	8
Kultura	9
Biologija	10
Jezikoslovlje	11
Države_u_Europi	12
Scenska_umjetnost	13
Kršćanstvo	14
Tehnologija	15
Znanje	16
Umjetnost	17
Politika_Hrvatske	18
Glazba	19
Znanost	20
Geologija	21
Astronomija	22
Matematika	23
Fizika	24
Povijest_Rusije	25
Ekonomija	26
Filozofija	27
Geografija	28
Povijest_Grčke	29
Fizička_geografija	30
Kiparstvo	31
Kemija	32
Antropogeografija	33
Sveta_Stolica	34
Komunikacije	35
Medicina	36
Indoeuropski_jezici	37
Genealogija	38
Povijest_filozofije	39
Psihologija	40
Povijest_Austrije	41
Povijest_Italije	42
Povijest_Mađarske	43
Arhitektura	44
Ujedinjeno_Kraljevstvo	45
Pismo	46
Slikarstvo	47
Promet	48
Astronautika	49
Francuska_književnost	50
Američka_književnost	51
Talijanska_književnost	52
Zoologija	53
Švedska_književnost	54
Patologija	55
Povijest_Francuske	56
Povijest_Njemačke	57
Antropologija	58
Botanika	59
Jezici	60
SSSR_u_Drugom_svjetskom_ratu	61
Biokemija	62
Domaće_životinje	63
Elektrotehnika	64
Arheologija	65
Španjolska_književnost	66
Povijest_Azije	67
Kartografija	68
Hidrologija	69
Zemljopisni_popisi	70
Demografija_Hrvatske	71
Belgijska_književnost	72
Građevinarstvo	73
Sociologija	74
Javna_uprava	75
Međunarodni_odnosi	76
Australija	77
Pravo	78
Elektronika	79
Meksiko	80
Novi_Zeland	81
Povijest_Afrike	82
Optika	83
Indijski_ocean	84
Fiziologija	85
Odgoj_i_obrazovanje_u_Hrvatskoj	86
Grčki_jezik	87
Farmacija	88
Fotografija	89
Islam	90
Pseudoznanost	91
Političke_ideologije	92
Valute	93
Slavenski_jezici	94
Povijest_znanosti	95
Oružane_snage_SAD-a	96
Stočarstvo	97
Pjesništvo	98
Budizam	99
Folklor	100
Kolonijalizam	101
Mikrobiologija	102
Statistika	103
Tihi_ocean	104
Ratna_mornarica	105
Stoljeća	106
Djetinjstvo	107
Farmakologija	108
Komunizam	109
Književna_povijest	110
Povijest_Poljske	111
