Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
Bosna_i_Hercegovina,24,23,957,12746,158,369,3,14280
Povijest_Europe,5,42,1623,23180,134,384,1,25369
Povijest_po_državama,11,101,1867,25692,122,371,1,28165
Književnost,83,26,443,10985,208,1109,3,12857
Hrvatski_književnici,765,13,47,2020,51,4963,1,7860
Romanopisci,91,4,7,309,64,267,4,746
Esejisti,71,5,7,298,55,123,1,560
Pjesnici,207,12,16,1233,147,474,1,2090
Društvene_znanosti,42,21,12485,148880,160,639,1,162228
Religija,68,19,883,9833,240,924,2,11969
Tradicija,0,4,773,9428,93,215,2,10515
Primijenjene_znanosti,39,22,4342,62429,117,690,4,67643
Tehničke_znanosti,3,3,267,4342,0,97,3,4715
Filmska_umjetnost,73,19,552,8332,146,758,1,9881
Umjetnička_djela,6,7,728,7995,68,169,1,8974
Države_u_Sjevernoj_i_Srednjoj_Americi,0,23,1010,20107,0,546,2,21688
Mliječni_put,9,1,41,1163,71,108,1,1394
Bolje_osmisliti_kategorizaciju,0,22,1632,20108,0,70,1,21833
Kalendar,57,15,482,22631,161,602,38,23986
Politička_geografija,18,6,10894,120736,102,330,1,132087
Kultura,96,36,8187,86711,210,899,3,96142
Pretrpane_kategorije,0,22,11353,129673,0,195,7,141250
Sukobi,4,4,292,5047,52,174,8,5581
Vojna_povijest,46,11,431,5993,79,311,2,6873
Društvo,93,27,14628,152411,187,801,1,168148
Hrvatska_povijest,143,30,961,15472,76,720,2,17404
Hrvatski_znanstvenici,120,29,37,1807,44,1954,4,3995
Povjesničari_po_državama,0,29,44,703,73,134,3,986
Prirodne_znanosti,32,13,16094,170117,150,721,7,187134
Biologija,93,32,8794,71966,220,962,1,82068
Humanističke_znanosti,7,4,8099,87497,103,257,7,95974
Hrvati,40,9,225,5358,39,295,2,5968
Hrvatska,39,29,2529,39161,175,3864,3,45800
Jezikoslovlje,107,24,1519,9092,178,638,6,11564
Južnoslavenski_jezici,17,7,24,577,56,185,1,867
Države_u_Europi,0,50,7462,84639,192,14579,3,106925
Scenska_umjetnost,17,9,71,2822,78,355,1,3353
Kršćanstvo,172,31,607,6916,209,586,2,8523
Životopisi,6,47,4038,41454,208,998,3,46754
Elektromagnetizam,96,2,33,627,100,281,1,1140
Tehnologija,158,23,867,12462,165,806,1,14482
Gramatika,36,7,11,329,123,987,1,1494
Znanje,3,4,17939,181182,105,247,7,199487
Umjetnost,54,22,4410,61900,206,3014,2,69608
Likovna_umjetnost,88,19,2343,36451,103,336,2,39342
Onomastika,19,1,6,266,68,202,1,563
